iter	Passed	Remaining
539	55390	98471
540	55486	98357
541	55588	98254
542	55687	98145
543	55788	98040
544	55893	97941
545	55990	97829
546	56089	97720
547	56192	97618
548	56304	97533
549	56413	97441
550	56518	97343
551	56619	97238
552	56729	97148
553	56829	97041
554	56935	96943
555	57034	96835
556	57136	96732
557	57233	96620
558	57341	96526
559	57441	96420
560	57542	96315
561	57654	96227
562	57753	96118
563	57855	96015
564	57960	95916
565	58060	95810
566	58167	95714
567	58270	95612
568	58380	95521
569	58484	95421
570	58588	95322
571	58689	95217
572	58795	95119
573	58898	95017
574	59004	94919
575	59109	94822
576	59215	94724
577	59314	94615
578	59419	94516
579	59516	94404
580	59617	94300
581	59715	94189
582	59818	94087
583	59916	93978
584	60012	93865
585	60114	93762
586	60211	93650
587	60309	93541
588	60411	93438
589	60509	93328
590	60608	93220
591	60711	93118
592	60810	93010
593	60909	92902
594	61013	92802
595	61113	92695
596	61211	92585
597	61314	92484
598	61412	92374
599	61510	92265
600	61615	92167
601	61711	92055
602	61809	91946
603	61912	91843
604	62010	91735
605	62108	91624
606	62210	91521
607	62309	91414
608	62408	91306
609	62512	91206
610	62608	91095
611	62706	90985
612	62807	90881
613	62905	90772
614	63003	90662
615	63109	90566
616	63208	90458
617	63306	90350
618	63408	90246
619	63503	90134
620	63602	90026
621	63702	89920
622	63802	89815
623	63901	89707
624	64004	89606
625	64105	89502
626	64203	89393
627	64308	89294
628	64405	89184
629	64503	89076
630	64605	88973
631	64703	88865
632	64800	88755
633	64904	88654
634	65001	88544
635	65101	88439
636	65204	88337
637	65303	88231
638	65403	88126
639	65508	88027
640	65609	87922
641	65708	87816
642	65813	87716
643	65912	87610
644	66010	87502
645	66115	87403
646	66213	87295
647	66314	87191
648	66415	87087
649	66514	86980
650	66611	86870
651	66716	86772
652	66814	86664
653	66911	86555
654	67015	86455
655	67113	86347
656	67209	86236
657	67313	86136
658	67412	86030
659	67511	85923
660	67612	85820
661	67711	85713
662	67811	85608
663	67912	85504
664	68011	85398
665	68112	85294
666	68212	85188
667	68315	85087
668	68413	84979
669	68511	84872
670	68615	84772
671	68711	84662
672	68818	84566
673	68922	84465
674	69019	84357
675	69124	84258
676	69222	84151
677	69322	84045
678	69419	83937
679	69524	83838
680	69625	83734
681	69721	83625
682	69823	83522
683	69922	83416
684	70021	83310
685	70124	83209
686	70223	83102
687	70321	82995
688	70424	82894
689	70524	82789
690	70621	82680
691	70725	82580
692	70822	82473
693	70922	82368
694	71021	82261
695	71118	82154
696	71223	82054
697	71321	81947
698	71418	81840
699	71521	81738
700	71621	81633
701	71720	81528
702	71826	81430
703	71923	81322
704	72022	81216
705	72126	81116
706	72223	81008
707	72320	80900
708	72422	80798
709	72520	80691
710	72620	80586
711	72722	80485
712	72820	80378
713	72916	80269
714	73022	80171
715	73121	80066
716	73218	79958
717	73324	79860
718	73421	79753
719	73518	79644
720	73620	79543
721	73723	79441
722	73821	79334
723	73924	79234
724	74020	79125
725	74121	79021
726	74225	78922
727	74323	78815
728	74420	78708
729	74520	78603
730	74621	78500
731	74722	78397
732	74824	78295
733	74920	78186
734	75024	78086
735	75121	77979
736	75218	77872
737	75320	77769
